source,target,reached,length,visited\
Platypus,Chocolate,TRUE,8,"['Platypus', 'United_Kingdom', 'List_of_countries_by_system_of_government', 'United_States', 'Europe', 'Arabic_language', 'Sugar', 'Chocolate']\"
Melbourne,Fidel_Castro,TRUE,4,"['Melbourne', 'United_States', 'Cuba', 'Fidel_Castro']\"
Pedagogy,Russia,TRUE,3,"['Pedagogy', '20th_century', 'Russia']\"
Nintendo_Entertainment_System,Logic,FALSE,20,"['Nintendo_Entertainment_System', 'United_States', 'France', 'Arabic_language', 'English_language', 'Germany', 'Europe', 'Ottoman_Empire', 'Byzantine_Empire', 'Currency', 'Mauritania', 'Australia', 'United_Kingdom', 'England', 'Christianity', 'Hebrew_language', 'Islam', 'China', 'Japan']\"
Sumer,Dandelion,FALSE,20,"['Sumer', 'Afghanistan', 'Time_zone', 'United_States', 'List_of_countries_by_system_of_government', 'Scotland', 'Europe', 'Arabic_language', 'Latin', 'English_language', 'Pakistan', 'France', 'Germany', 'Spain', 'United_Kingdom', 'Christianity', 'Ottoman_Empire', 'England', 'BBC']\"
Red_dwarf,Sport,TRUE,4,"['Red_dwarf', 'Earth', 'United_States', 'Sport']\"
Red_dwarf,13th_century,TRUE,5,"['Red_dwarf', 'Earth', 'Middle_Ages', '14th_century', '13th_century']\"
Battle_of_Alesia,Ronald_Reagan,TRUE,5,"['Battle_of_Alesia', 'France', 'United_States', 'President_of_the_United_States', 'Ronald_Reagan']\"
Canada,Uruguay,TRUE,4,"['Canada', 'France', 'Brazil', 'Uruguay']\"
Fiction,Milan,TRUE,6,"['Fiction', 'Human', 'Madrid', 'Barcelona', 'Italy', 'Milan']\"
Book,Amazon_River,TRUE,4,"['Book', 'China', 'River', 'Amazon_River']\"
Brighton,Music,TRUE,5,"['Brighton', 'United_States', 'Hip_hop_music', 'Music_of_the_United_States', 'Music']\"
Chocolate,Kangaroo,TRUE,5,"['Chocolate', 'Rabbit', 'Mammal', 'Australia', 'Kangaroo']\"
Chocolate,Mario,TRUE,15,"['Chocolate', 'Europe', 'Netherlands', 'Time_zone', 'United_States', 'List_of_countries_by_system_of_government', 'France', 'German_language', 'South_Africa', 'Germany', 'Arabic_language', 'Latin', 'Italy', 'Japan', 'Mario']\"
Sunol_Water_Temple,Dolphin,TRUE,8,"['Sunol_Water_Temple', 'Rome', 'Middle_Ages', 'France', 'List_of_countries_by_system_of_government', 'United_States', 'Europe', 'Dolphin']\"
Morocco,Republic_of_China,TRUE,3,"['Morocco', 'United_States', 'Republic_of_China']\"
Uranium,Stephen_Hawking,FALSE,20,"['Uranium', 'Phase_%28matter%29', 'Iron', 'Sweden', 'List_of_countries_by_system_of_government', 'Spain', 'United_States', 'Portugal', 'Brazil', 'United_Kingdom', 'France', 'Arabic_language', 'Portuguese_language', 'English_language', 'Philippines', 'Mexico', 'Germany', 'Europe', 'Hawk']\"
Ordovician,Film,TRUE,6,"['Ordovician', 'Europe', 'France', 'Time_zone', 'United_States', 'Film']\"
Genghis_Khan,Woodrow_Wilson,TRUE,9,"['Genghis_Khan', 'Ukraine', 'Time_zone', 'United_States', 'Walt_Whitman', 'France', 'World_War_II', 'Franklin_D._Roosevelt', 'Woodrow_Wilson']\"
Rugby_football,Semiconductor,FALSE,20,"['Rugby_football', 'Australia', 'Time_zone', 'Spain', 'Europe', 'London', 'France', 'List_of_countries_by_system_of_government', 'Canada', 'North_America', 'Atlantic_Ocean', 'Portugal', 'Ukraine', 'Denmark', 'Norway', 'Iceland', 'Germany', 'Arabic_language', 'Egypt']\"
North_Korea,Flower,FALSE,20,"['North_Korea', 'Time_zone', 'United_States', 'List_of_countries_by_system_of_government', 'France', 'Arabic_language', 'English_language', 'Latin', 'Europe', 'India', 'United_Kingdom', 'Germany', 'Japan', 'Russia', 'Christianity', 'Spain', 'Italy', 'Currency', 'Gold']\"
Edward_Teller,Soil_science,TRUE,5,"['Edward_Teller', 'Germany', 'Europe', 'Geology', 'Soil_science']\"
Apollo_8,Jerusalem,TRUE,9,"['Apollo_8', 'Paris', 'Beirut', 'Damascus', 'Mecca', 'Baghdad', 'Cairo', 'Israel', 'Jerusalem']\"
Giant_Panda,The_Beatles,TRUE,8,"['Giant_Panda', 'United_States', 'Currency', '19th_century', 'France', 'List_of_countries_by_system_of_government', 'United_Kingdom', 'The_Beatles']}"
Auto_racing,Household_income_in_the_United_States,TRUE,3,"['Auto_racing', 'United_States', 'Household_income_in_the_United_States']\"
Beijing,European_Parliament,TRUE,4,"['Beijing', 'Europe', 'European_Union', 'European_Parliament']\"
Frog,Potato,TRUE,5,"['Frog', 'France', 'Time_zone', 'United_States', 'Potato']\"
Rice,Adolf_Hitler,TRUE,7,"['Rice', 'United_States', 'Abraham_Lincoln', 'United_Kingdom', 'World_War_I', 'Nazism', 'Adolf_Hitler']\"
Lead,Money,TRUE,10,"['Lead', 'Phase_%28matter%29', 'Water', 'Life', 'Animal', 'Scientific_classification', 'Carolus_Linnaeus', 'Japan', 'Currency', 'Money']\"
Crystal,Mammal,TRUE,4,"['Crystal', 'Color', 'Human', 'Mammal']\"
Turkmenistan,Black_Death,FALSE,20,"['Turkmenistan', 'List_of_countries_by_system_of_government', 'United_States', 'Europe', 'Black_Sea', 'Russia', 'United_Kingdom', 'English_language', 'Latin', 'French_language', 'France', 'World_War_II', 'Germany', 'World_War_I', 'Africa', 'United_Nations', 'Soviet_Union', 'Time_zone', 'Spain']\"
Btrieve,Dog,FALSE,20,"['Btrieve', 'Linux', 'X_Window_System', 'Internet', 'United_States', 'Time_zone', 'France', 'List_of_countries_by_system_of_government', 'Germany', 'Europe', 'Mammal', 'Animal', 'Bird', 'Human', 'English_language', 'United_Kingdom', 'India', 'Japan', 'China']\"
Carl_Jung,Senegal,TRUE,3,"['Carl_Jung', 'Kenya', 'Senegal']\"
Chromium,Meteorology,TRUE,5,"['Chromium', 'Phase_%28matter%29', 'Water', 'Climate', 'Meteorology']\"
Computer,National_Hockey_League,TRUE,9,"['Computer', 'Great_Britain', 'United_Kingdom', 'Rugby_football', 'Canadian_football', 'French_language', 'United_States', 'Ice_hockey', 'National_Hockey_League']\"
Rice,Galaxy,FALSE,20,"['Rice', 'United_States', 'List_of_countries_by_system_of_government', 'France', 'United_Kingdom', 'India', 'Europe', 'Germany', 'English_language', 'Australia', 'World_War_II', 'Japan', 'Christianity', 'Spain', 'Africa', 'Latin', 'Italy', 'Currency', 'Gold']\"
Napoleonic_Wars,Superman,FALSE,20,"['Napoleonic_Wars', 'Portugal', 'Time_zone', 'United_States', 'Latin', 'Roman_Catholic_Church', 'Africa', 'France', 'List_of_countries_by_system_of_government', 'Argentina', 'German_language', 'European_Union', 'Spanish_language', 'Arabic_language', 'Portuguese_language', 'Japan', 'Europe', 'Ireland', 'Football_%28soccer%29']\"
Gustav_Holst,Reptile,FALSE,20,"['Gustav_Holst', '19th_century', 'Europe', 'Germany', 'World_War_II', 'Paris', 'People%27s_Republic_of_China', 'Time_zone', 'United_States', 'List_of_countries_by_system_of_government', 'Belgium', 'European_Union', 'German_language', 'Hungary', 'Ottoman_Empire', 'Arabic_language', 'Portuguese_language', 'New_York_City', 'United_Kingdom']\"
Nutmeg,Aluminium_chloride,FALSE,20,"['Nutmeg', 'France', 'Germany', 'England', 'Italy', 'India', 'Japan', 'China', 'Portugal', 'Russia', 'Canada', 'United_States', 'Netherlands', 'Scotland', 'Agriculture', 'Sweden', 'Soviet_Union', 'People%27s_Republic_of_China', 'Australia']\"
Pig,Liverpool_F.C.,TRUE,5,"['Pig', 'Judaism', 'Islam', 'United_Kingdom', 'Liverpool_F.C.']\"
I_Ching,Church_of_England,TRUE,5,"['I_Ching', 'Philosophy', 'United_States', 'United_Kingdom', 'Church_of_England']\"
Tin,The_Lord_of_the_Rings,TRUE,18,"['Tin', 'Hydrogen', 'Phase_%28matter%29', 'Plasma_%28physics%29', 'Physics', 'World_War_II', 'Canada', 'Time_zone', 'Sweden', 'French_language', 'European_Union', 'Portugal', 'Football_%28soccer%29', 'Paris', 'Australia', 'New_Zealand', 'The_Lord_of_the_Rings_film_trilogy', 'The_Lord_of_the_Rings']\"
Bruce_Springsteen,Neptune,TRUE,16,"['Bruce_Springsteen', 'United_States', 'France', 'German_language', 'Spanish_language', 'Arabic_language', 'Portuguese_language', 'Japan', 'United_Kingdom', 'Europe', 'Germany', 'Canada', 'Russia', 'Earth', 'Planet', 'Neptune']\"
National_Hockey_League,Solar_System,FALSE,20,"['National_Hockey_League', 'Europe', 'France', 'United_Kingdom', 'Germany', 'England', 'Italy', 'Japan', 'China', 'Africa', 'Spain', 'Russia', 'Canada', 'Islam', '19th_century', 'Paris', 'London', 'Jew', 'Netherlands']\"
The_Hobbit,Libya,TRUE,11,"['The_Hobbit', 'Country', 'Iceland', 'Norway', 'Russia', 'Ukraine', 'Kazakhstan', 'Kyrgyzstan', 'Afghanistan', 'Pakistan', 'Libya']\"
Sarajevo,Triassic,FALSE,20,"['Sarajevo', 'Europe', 'French_language', 'German_language', 'United_States', 'List_of_countries_by_system_of_government', 'United_Kingdom', 'World_War_II', 'Jew', 'France', 'Arabic_language', 'Spanish_language', 'Germany', 'Capital', 'Latin', 'English_language', 'England', 'Chinese_language', 'Japan']\"
Sculpture,Neptune,TRUE,16,"['Sculpture', 'France', 'United_States', 'German_language', 'Spanish_language', 'Arabic_language', 'Portuguese_language', 'Japan', 'United_Kingdom', 'Europe', 'Germany', 'Canada', 'Russia', 'Earth', 'Planet', 'Neptune']\"
Atlantic_Ocean,Wood,TRUE,10,"['Atlantic_Ocean', 'United_States', 'Steel', 'Metal', 'Currency', '19th_century', 'Europe', 'Forest', 'Tree', 'Wood']\"
Honey_bee,Fourteenth_Amendment_to_the_United_States_Constitution,TRUE,7,"['Honey_bee', 'Europe', 'France', 'Japan', 'United_States', 'United_States_Constitution', 'Fourteenth_Amendment_to_the_United_States_Constitution']\"
Babylonia,Cello,FALSE,20,"['Babylonia', 'Earth', 'North_America', 'Asia', 'People%27s_Republic_of_China', 'Time_zone', 'Ireland', 'Football_%28soccer%29', 'Europe', 'Greece', 'List_of_countries_by_system_of_government', 'France', 'United_States', 'Agriculture', 'Germany', 'Great_Britain', 'Climate', 'Global_warming', 'United_Kingdom']\"
IPod,Space_station,TRUE,5,"['IPod', 'United_States', 'Space_Shuttle_Columbia', 'International_Space_Station', 'Space_station']\"
Dover,Nintendo_Entertainment_System,TRUE,18,"['Dover', 'United_Kingdom', 'London', 'Jew', 'United_States', 'Islam', 'Egypt', 'Africa', 'Netherlands', 'Agriculture', 'Germany', 'Poland', 'Denmark', 'Iceland', 'English_language', 'Japan', 'Nintendo', 'Nintendo_Entertainment_System']\"
Leon_Trotsky,Sun,TRUE,12,"['Leon_Trotsky', 'United_States', 'List_of_countries_by_system_of_government', 'France', 'Portuguese_language', 'India', 'Europe', 'Germany', 'Great_Britain', 'United_Kingdom', 'Earth', 'Sun']\"
Owl,Che_Guevara,FALSE,20,"['Owl', 'Ancient_Rome', 'France', 'United_States', 'Latin', 'English_language', 'United_Kingdom', 'Europe', 'Spain', 'Russia', 'North_America', 'French_language', 'Italy', 'Dante_Alighieri', 'Rome', 'World_War_II', 'Soviet_Union', 'United_Nations', 'Africa']\"
Armadillo,Iridium,FALSE,20,"['Armadillo', 'United_States', 'List_of_countries_by_system_of_government', 'People%27s_Republic_of_China', 'Football_%28soccer%29', 'Europe', 'French_language', 'German_language', 'South_Africa', 'Hinduism', 'United_Kingdom', 'Scotland', 'Ireland', 'Latin', 'Portuguese_language', 'Arabic_language', 'English_language', 'World_War_II', 'Romania']\"
Space_Race,Tobacco,FALSE,20,"['Space_Race', 'United_States', 'Time_zone', 'France', 'List_of_countries_by_system_of_government', 'United_Kingdom', 'Europe', 'Arabic_language', 'Hebrew_language', 'Canada', 'Christianity', 'Byzantine_Empire', 'Germany', 'England', 'Spain', 'India', 'United_States_dollar', 'Petroleum', 'China']\"
Atom,Canada,TRUE,5,"['Atom', 'Electron', 'Chemical_element', 'Russia', 'Canada']\"
John_Howard,Alchemy,FALSE,20,"['John_Howard', 'United_Kingdom', 'England', 'Scotland', 'List_of_countries_by_system_of_government', 'India', 'Japan', 'Australia', 'People%27s_Republic_of_China', 'United_States', 'Sweden', 'Argentina', 'Brazil', 'Climate', 'Weather', 'Earth', 'Mammal', 'Vertebrate', 'Scientific_classification']\"
Crocodile,Trigonometric_function,FALSE,20,"['Crocodile', 'Australia', 'United_Kingdom', 'Europe', 'Germany', 'England', 'Latin', 'Italy', 'India', 'Japan', 'China', 'Africa', 'Spain', 'Russia', 'Canada', 'Currency', '19th_century', 'Egypt', 'List_of_countries_by_system_of_government']\"
Gaza_Strip,National_Hockey_League,TRUE,5,"['Gaza_Strip', 'Time_zone', 'United_States', 'Ice_hockey', 'National_Hockey_League']\"
Space_Race,Elizabeth_I_of_England,TRUE,4,"['Space_Race', 'Japan', 'Parliament_of_the_United_Kingdom', 'Elizabeth_I_of_England']\"
Arecaceae,Moon_landing,TRUE,9,"['Arecaceae', 'Apollo', 'Full_moon', 'Moon', 'New_moon', 'Sun', 'United_States', 'Apollo_11', 'Moon_landing']\"
La_Paz,Goldfish,TRUE,9,"['La_Paz', 'English_language', 'United_States', 'List_of_countries_by_system_of_government', 'United_Kingdom', 'Europe', 'Fish', 'Aquarium', 'Goldfish']\"
Art,United_States_Constitution,TRUE,5,"['Art', 'Middle_Ages', 'English_language', 'United_States', 'United_States_Constitution']\"
Retina,Cod,FALSE,20,"['Retina', 'Evolution', 'United_States', 'Europe', 'France', 'United_Kingdom', 'Electron', 'Electricity', 'Natural_gas', 'Phase_%28matter%29', 'Water', 'Sea', 'Mediterranean_Sea', 'Spain', 'Germany', 'World_War_II', 'Japan', 'Nintendo', 'Canada']\"
Hydrogen,Stonehenge,TRUE,18,"['Hydrogen', 'Phase_%28matter%29', 'Water', 'France', 'Time_zone', 'United_States', 'List_of_countries_by_system_of_government', 'United_Kingdom', 'Europe', 'Germany', 'English_language', 'Latin', 'Italy', 'Spain', 'Currency', '19th_century', 'England', 'Stonehenge']\"
Arctic,Energy,TRUE,4,"['Arctic', 'United_States', 'Nuclear_power', 'Energy']\"
Diego_Garcia,Reptile,FALSE,20,"['Diego_Garcia', 'United_States', 'Europe', 'Germany', 'World_War_II', 'Paris', '19th_century', 'Belgium', 'Time_zone', 'New_York_City', 'Hungary', 'List_of_countries_by_system_of_government', 'People%27s_Republic_of_China', 'Capital', 'European_Union', 'German_language', 'France', 'Arabic_language', 'Portuguese_language']\"
Retina,Joseph_Stalin,TRUE,9,"['Retina', 'Vertebrate', 'Scientific_classification', 'Latin', 'United_States', 'India', 'Time_zone', 'World_War_II', 'Joseph_Stalin']\"
Myanmar,Turmeric,FALSE,20,"['Myanmar', 'Time_zone', 'United_States', 'List_of_countries_by_system_of_government', 'People%27s_Republic_of_China', 'English_language', 'Ireland', 'Latin', 'Europe', 'France', 'Russia', 'Christianity', 'Spain', 'Germany', 'Republic_of_Ireland', 'United_Kingdom', 'Electron', 'Quantum_mechanics', 'Special_relativity']\"
Rail_transport_in_India,Malaria,FALSE,20,"['Rail_transport_in_India', 'World_War_II', 'New_Zealand', 'Australia', 'Great_Britain', 'Europe', 'London', 'New_York_City', 'California', 'United_States', 'Denmark', 'Euro', 'France', 'Roman_Catholic_Church', 'Africa', 'Latin', '18th_century', '19th_century', '20th_century']\"
Lightning_rod,Watch,FALSE,20,"['Lightning_rod', 'United_States', 'List_of_countries_by_system_of_government', 'People%27s_Republic_of_China', 'Portuguese_language', 'French_language', 'German_language', 'United_Kingdom', 'Industrial_Revolution', 'France', 'Roman_Catholic_Church', 'Holy_Roman_Empire', 'Napoleon_I_of_France', 'Europe', 'Arabic_language', 'English_language', 'Dutch_language', 'Indonesia', 'Malaysia']\"
Zambezi,Jesus,TRUE,8,"['Zambezi', 'Germany', 'World_War_II', 'United_States', 'Time_zone', 'France', 'God', 'Jesus']\"
Lightning_rod,Natalie_Portman,FALSE,20,"['Lightning_rod', 'United_States', 'Europe', 'England', 'Italy', 'India', 'Time_zone', 'China', 'Africa', 'Christianity', 'Islam', 'Russia', 'Canada', 'Currency', 'Ancient_Egypt', 'Egypt', 'List_of_countries_by_system_of_government', 'Scotland', 'London']\"
Planet,Novel,TRUE,14,"['Planet', 'Japan', 'Time_zone', 'United_States', 'List_of_countries_by_system_of_government', 'France', 'Roman_Catholic_Church', 'Latin', 'Europe', 'Arabic_language', 'English_language', 'World_War_II', 'United_Kingdom', 'Novel']\"
DNA,Iron,TRUE,4,"['DNA', 'United_Kingdom', 'Steel', 'Iron']\"
Frog,Ancient_Greece,TRUE,5,"['Frog', 'France', 'Roman_Empire', 'Ancient_Rome', 'Ancient_Greece']\"
Indian_Standard_Time,Flag_of_Belarus,TRUE,6,"['Indian_Standard_Time', 'United_Kingdom', 'Christianity', 'Europe', 'Belarus', 'Flag_of_Belarus']\"
GNU_Project,J._R._R._Tolkien,FALSE,20,"['GNU_Project', 'Richard_Stallman', 'French_language', 'Europe', 'Italy', 'Time_zone', 'Canada', 'Currency', 'Euro', 'European_Union', 'Paris', 'Australia', 'List_of_countries_by_system_of_government', 'Egypt', 'Arabic_language', 'Spanish_language', 'Brazil', 'Football_%28soccer%29', 'South_America']\"
Watchmen,Algebra,TRUE,15,"['Watchmen', 'United_States', 'United_Nations', 'South_Africa', 'Europe', 'France', 'South_America', 'English_language', 'World_War_II', 'Germany', 'Russia', 'Christianity', 'North_Africa', 'Islam', 'Algebra']\"
Tennis,Pluto,TRUE,6,"['Tennis', 'United_States', 'Moon', 'Mars', 'Planet', 'Pluto']\"
Giant_Panda,Jesus,TRUE,9,"['Giant_Panda', 'Scientific_classification', 'Binomial_nomenclature', 'Latin', 'United_States', 'World_War_II', 'Europe', 'Christianity', 'Jesus']\"
Penguin,Chemistry,TRUE,6,"['Penguin', 'English_language', 'United_States', 'Petroleum', 'Hydrogen', 'Chemistry']\"
Tennis,Ku_Klux_Klan,FALSE,20,"['Tennis', 'Australia', 'Italy', 'United_States', 'United_Kingdom', 'London', 'Paris', 'English_language', 'World_War_II', 'France', 'Arabic_language', 'Latin', 'Europe', 'United_Nations', 'Soviet_Union', 'Climate', 'Meteorology', 'Earth%27s_atmosphere', 'Gravitation']\"
Mongol_Empire,Pablo_Picasso,FALSE,20,"['Mongol_Empire', 'China', 'United_States', 'France', 'Australia', 'English_language', 'Scotland', 'London', 'United_Kingdom', 'Electron', 'Quantum_mechanics', 'Latin', 'Europe', 'Turkey', 'Spain', 'Germany', 'Ludwig_van_Beethoven', 'Napoleon_I_of_France', 'Russia']\"
Global_warming,Silent_film,TRUE,4,"['Global_warming', 'United_States', 'Film', 'Silent_film']\"
Atlantic_slave_trade,Uranium,TRUE,4,"['Atlantic_slave_trade', 'United_States', 'Nuclear_weapon', 'Uranium']\"
Cape_Town,Ernest_Rutherford,FALSE,20,"['Cape_Town', 'India', 'Time_zone', 'Canada', 'Currency', 'Euro', 'United_States', 'Walt_Whitman', 'France', 'Australia', 'List_of_countries_by_system_of_government', 'Scotland', 'London', 'World_War_II', 'Pakistan', 'Islam', 'Arabic_language', 'Middle_East', 'Turkey']\"
India,Pakistan,TRUE,2,"['India', 'Pakistan']\"
Color_blindness,William_Shakespeare,TRUE,4,"['Color_blindness', '18th_century', 'William_Hogarth', 'William_Shakespeare']\"
Psychology,Tower_of_London,TRUE,6,"['Psychology', 'United_States', 'Japan', 'United_Kingdom', 'Palace_of_Westminster', 'Tower_of_London']\"
David_Hume,Hoover_Dam,FALSE,20,"['David_Hume', 'France', 'United_States', 'Grand_Canyon', 'Europe', 'United_Kingdom', 'Judaism', 'Germany', 'Euro', 'Japan', 'China', 'Climate', 'Weather', 'Canada', 'English_language', 'World_War_II', 'India', 'Hinduism', 'Linguistics']\"
Bread,Mars,TRUE,4,"['Bread', 'United_States', 'Moon', 'Mars']\"
Tuna,Autumn,TRUE,15,"['Tuna', 'United_States', 'List_of_countries_by_system_of_government', 'People%27s_Republic_of_China', 'United_States_dollar', 'Saudi_Arabia', 'Arabic_language', 'Latin', 'Europe', 'France', 'Germany', 'United_Kingdom', 'England', 'Winter', 'Autumn']\"
Ultimatum_game,Dubai,TRUE,5,"['Ultimatum_game', 'United_States', 'Middle_East', 'Abu_Dhabi', 'Dubai']\"
Poverty,Thermodynamics,FALSE,20,"['Poverty', 'Latin', 'Europe', 'France', 'United_Kingdom', 'England', 'Italy', 'Japan', 'China', 'Islam', 'Spain', 'Time_zone', 'Canada', 'French_language', 'North_America', 'European_Union', 'London', 'Paris', 'Australia']\"
Tobacco_smoking,Sun,TRUE,12,"['Tobacco_smoking', 'United_States', 'List_of_countries_by_system_of_government', 'France', 'Portuguese_language', 'India', 'Europe', 'Germany', 'Great_Britain', 'United_Kingdom', 'Earth', 'Sun']\"
IPod,War,TRUE,3,"['IPod', 'United_States', 'War']\"
The_Hobbit,Athens,TRUE,4,"['The_Hobbit', 'United_States', 'Greece', 'Athens']\"
Bread,Jupiter,TRUE,6,"['Bread', 'United_States', 'Moon', 'Venus', 'Planet', 'Jupiter']\"
Euclidean_geometry,Volcanic_pipe,FALSE,20,"['Euclidean_geometry', 'Albert_Einstein', 'Germany', 'Canada', 'Currency', 'Euro', 'United_States', 'Volcano', 'Decade_Volcanoes', 'Russia', 'List_of_countries_by_system_of_government', 'Turkey', 'Jew', 'German_language', 'Argentina', 'Judaism', 'United_Kingdom', 'London', 'Paris']\"
Sand_art_and_play,Windows_Vista,FALSE,20,"['Sand_art_and_play', 'Buddhism', 'Japan', 'Currency', 'Euro', 'France', 'Australia', 'United_States', 'Canada', 'United_Kingdom', 'Scotland', 'Ireland', 'Judaism', 'Jew', 'Sweden', 'Denmark', 'Norway', 'English_language', 'Israel']\"
Honey_bee,Tower_Bridge,FALSE,20,"['Honey_bee', 'Africa', 'Asia', 'Japan', 'List_of_countries_by_system_of_government', 'Italy', 'United_States', 'Agriculture', 'France', 'United_Kingdom', 'Giant%27s_Causeway', 'New_Zealand', 'Judaism', 'Greece', 'Turkey', 'Arabic_language', 'English_language', 'World_War_II', 'Finland']\"
Atlantic_slave_trade,13th_century,TRUE,5,"['Atlantic_slave_trade', 'United_States', 'Europe', '18th_century', '13th_century']\"
Kevin_Spacey,Venezuela,TRUE,5,"['Kevin_Spacey', 'London', 'Russia', 'Cuba', 'Venezuela']\"
Citrus,Perfect_number,FALSE,20,"['Citrus', 'India', 'France', 'Germany', 'Europe', 'England', 'Italy', 'Japan', 'China', 'Africa', 'Spain', 'Currency', 'Country', 'Australia', 'Asia', 'Christianity', 'Islam', 'Egypt', 'United_States']\"
Brain,Star_Trek__The_Original_Series,FALSE,20,"['Brain', 'Europe', 'Germany', 'England', 'Italy', 'Spain', 'Time_zone', 'China', 'Africa', 'Portugal', 'Football_%28soccer%29', 'London', 'Belgium', 'Netherlands', 'United_States', 'Sweden', 'German_language', 'Australia', 'Ireland']\"
Brahman,Flag_of_South_Africa,TRUE,4,"['Brahman', 'English_language', 'South_Africa', 'Flag_of_South_Africa']\"
Mango,Video,FALSE,20,"['Mango', 'United_States', 'Television', 'DVD', 'Euro', 'France', 'Time_zone', 'United_Kingdom', 'List_of_countries_by_system_of_government', 'Germany', 'Europe', 'Napoleon_I_of_France', 'Holy_Roman_Empire', 'Latin', 'English_language', 'Canada', 'Russia', 'Japan', 'China']\"
Romania,Cloud,TRUE,4,"['Romania', 'United_States', 'Internet', 'Cloud']\"
Ludwig_Wittgenstein,Flag_of_Australia,TRUE,6,"['Ludwig_Wittgenstein', 'World_War_II', 'United_States', 'Oceania', 'Australia', 'Flag_of_Australia']\"
Canal,Microsoft_Windows,FALSE,20,"['Canal', 'United_States', 'Japan', 'United_Kingdom', 'English_language', 'World_War_II', 'Paris', 'Brazil', 'Judaism', 'Argentina', 'Mexico', 'Europe', 'Hinduism', 'Jesus', 'Bible', 'Jerusalem', 'Spain', 'Time_zone', 'Afghanistan']\"
Poultry,Earth,TRUE,4,"['Poultry', 'China', 'Geography', 'Earth']\"
Turtle,Sputnik_2,TRUE,6,"['Turtle', 'Canada', 'United_States', 'Soviet_Union', 'Sputnik_1', 'Sputnik_2']\"
Finland,Lawn,FALSE,20,"['Finland', 'Time_zone', 'United_States', 'List_of_countries_by_system_of_government', 'People%27s_Republic_of_China', 'Soviet_Union', 'European_Union', 'French_language', 'Arabic_language', 'Spanish_language', 'France', 'United_Kingdom', 'Europe', 'England', 'Germany', 'Euro', 'Japan', 'English_language', 'India']\"
John_Howard,Pluto,TRUE,6,"['John_Howard', 'United_States', 'Moon', 'Mars', 'Planet', 'Pluto']\"
Johann_Pachelbel,Space_Shuttle_Challenger_disaster,TRUE,10,"['Johann_Pachelbel', 'France', 'Italy', 'Spain', 'Currency', 'Euro', 'United_States', 'Space_Shuttle_Columbia', 'Space_Shuttle_Columbia_disaster', 'Space_Shuttle_Challenger_disaster']\"
Frederick_Hamilton-Temple-Blackwood%2C_1st_Marquess_of_Dufferin_and_Ava,Water,TRUE,4,"['Frederick_Hamilton-Temple-Blackwood%2C_1st_Marquess_of_Dufferin_and_Ava', 'United_Kingdom', 'Hydrogen', 'Water']\"
Bison,Trumpet,TRUE,8,"['Bison', 'Scientific_classification', 'Carolus_Linnaeus', 'Binomial_nomenclature', 'Latin', 'United_States', 'Jazz', 'Trumpet']\"
Timbuktu,Basking_shark,FALSE,20,"['Timbuktu', 'England', 'Christianity', 'Bible', 'Latin', 'United_States', 'Kingman_Reef', 'Pacific_Ocean', 'United_Kingdom', 'List_of_countries_by_system_of_government', 'Scotland', 'Agriculture', 'France', 'World_War_II', 'Rome', 'World_War_I', 'Greece', 'Philosophy', 'Aristotle']\"
Internet,Newspaper,TRUE,4,"['Internet', 'United_States', 'Publishing', 'Newspaper']\"
United_States_Senate,Eyelid,FALSE,20,"['United_States_Senate', 'Washington%2C_D.C.', 'United_States', 'List_of_countries_by_system_of_government', 'France', 'Germany', 'Europe', 'India', 'English_language', 'United_Kingdom', 'Natural_gas', 'Earth%27s_atmosphere', 'Earth', 'Animal', 'Latin', 'Italy', 'Japan', 'Christianity', 'Spain']\"
Vampire,Galileo_Galilei,TRUE,8,"['Vampire', 'France', 'United_States', 'Neil_Armstrong', 'Washington%2C_D.C.', 'United_Kingdom', 'John_Milton', 'Galileo_Galilei']\"
Mario,Fish,TRUE,7,"['Mario', 'United_States', 'List_of_countries_by_system_of_government', 'France', 'Japan', 'Fishing', 'Fish']\"
Florence_Nightingale,Korea,TRUE,4,"['Florence_Nightingale', 'Germany', 'Japan', 'Korea']\"
Van_Halen,Thulium,FALSE,20,"['Van_Halen', 'United_States', 'Latin', 'Europe', 'London', 'France', 'United_Kingdom', 'India', 'English_language', 'World_War_II', 'Germany', 'Japan', 'China', 'Christianity', 'Spain', 'Italy', 'Currency', '19th_century', 'Russia']\"
Tourism,Tank,TRUE,13,"['Tourism', 'United_States', 'List_of_countries_by_system_of_government', 'France', 'United_Kingdom', 'Europe', 'Fish', 'Aquarium', 'Pond', 'English_language', 'Germany', 'World_War_II', 'Tank']\"
F-35_Lightning_II,Computer_and_video_games,TRUE,4,"['F-35_Lightning_II', 'United_States', 'Computer', 'Computer_and_video_games']\"
Last_Supper,Heat,TRUE,16,"['Last_Supper', 'Christianity', 'People%27s_Republic_of_China', 'List_of_countries_by_system_of_government', 'United_States', 'France', 'Arabic_language', 'English_language', 'Germany', 'Europe', 'United_Kingdom', 'Latin', 'Italy', 'Currency', 'Gold', 'Heat']\"
Blaise_Pascal,Recycling,TRUE,5,"['Blaise_Pascal', 'Latin', 'French_language', 'European_Union', 'Recycling']\"
Cheese,Television,TRUE,4,"['Cheese', 'Food', 'Computer', 'Television']\"
